4omini:;llama3.3;llama-4;gpt-4.1;Human1;Human2;Human3;rounded average;average;
socio:;socio;socio;socio;socio;socio;socio;;;
-1;0;-1;0;0;-1;-1;-1;-0,571428571;
1;1;0;1;1;1;1;1;0,857142857;
-1;0;-1;-1;-1;-1;-1;-1;-0,857142857;
1;1;1;1;1;1;1;1;1;
1;0;0;0;0;0;0;0;0,142857143;
1;1;0;1;0;1;1;1;0,714285714;
0;0;0;0;0;0;0;0;0;Krippendorff's Alpha (Nominal Scale): 0.726
-1;0;-1;-1;-1;-1;-1;-1;-0,857142857;
0;0;0;0;-1;0;0;0;-0,142857143;
-1;0;0;0;0;0;0;0;-0,142857143;
-1;0;-1;0;0;-1;-1;-1;-0,571428571;
0;-1;0;-1;0;-1;-1;-1;-0,571428571;
-1;0;0;0;-1;0;0;0;-0,285714286;
-1;0;0;0;0;-1;0;0;-0,285714286;
-1;0;0;0;0;-1;0;0;-0,285714286;
0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0,142857143;
0;0;0;0;0;1;0;0;0,142857143;
0;0;0;0;0;1;0;0;0,142857143;
-1;0;0;0;-1;0;0;0;-0,285714286;
-1;0;0;0;0;0;0;0;-0,142857143;
1;1;1;1;1;1;1;1;1;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
1;1;1;1;0;1;1;1;0,857142857;
0;0;0;0;0;1;0;0;0,142857143;
-1;-1;-1;-1;0;-1;-1;-1;-0,857142857;
1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;
0;-1;-1;-1;0;1;0;0;-0,285714286;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
0;0;0;0;1;1;0;0;0,285714286;
1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;
-1;-1;-1;-1;0;-1;-1;-1;-0,857142857;
1;1;0;1;1;0;1;1;0,714285714;
0;0;0;0;0;1;0;0;0,142857143;
1;1;1;1;1;1;1;1;1;
1;0;0;0;0;1;0;0;0,285714286;
1;0;0;0;0;0;0;0;0,142857143;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
1;1;1;1;1;1;1;1;1;
1;1;0;1;1;1;1;1;0,857142857;
1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;
0;0;0;0;0;1;0;0;0,142857143;
1;1;1;1;1;1;1;1;1;
1;1;0;1;1;1;1;1;0,857142857;
0;0;0;1;1;1;1;1;0,571428571;
1;1;1;1;1;1;1;1;1;
-1;0;0;0;-1;-1;-1;-1;-0,571428571;
0;0;0;0;0;-1;0;0;-0,142857143;
1;1;1;1;0;1;1;1;0,857142857;
0;0;0;1;1;0;0;0;0,285714286;
0;0;0;0;1;0;0;0;0,142857143;
1;1;1;1;0;1;1;1;0,857142857;
1;1;1;1;1;1;1;1;1;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
-1;-1;-1;-1;-1;0;-1;-1;-0,857142857;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
1;1;1;1;1;1;1;1;1;
;;;;1;1;1;1;1;
econ:;econ;econ;econ;econ;econ;econ;;;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;
0;0;0;0;0;1;0;0;0,142857143;
0;0;0;0;0;1;0;0;0,142857143;
0;-1;-1;-1;-1;-1;-1;-1;-0,857142857;
1;1;1;1;0;0;1;1;0,714285714;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
1;1;1;1;1;1;1;1;1;
-1;-1;0;-1;-1;-1;-1;-1;-0,857142857;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
-1;-1;-1;-1;-1;-1;-1;-1;-1;
-1;-1;1;0;1;1;0;0;0,142857143;
1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;
-1;-1;0;0;-1;-1;-1;-1;-0,714285714;
-1;-1;-1;0;-1;0;-1;-1;-0,714285714;
0;0;0;0;0;0;0;0;0;
0;0;0;0;0;-1;0;0;-0,142857143;
0;0;0;0;0;0;0;0;0;
